tema,artista,album,albumId,cover
Your Latest Trick,Dire Straits,Love,1690426973,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/9b/5c/39/9b5c39cd-336c-07a8-519f-06b9a58dabf7/5059460205819.jpg/300x300bb.jpg
Ala delta,Divididos,Serie Oro,1513548097,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/1d/83/d5/1d83d556-d740-9919-2e61-6bf84e8a859f/20UMGIM33601.rgb.jpg/300x300bb.jpg
Spaghetti del rock,Divididos,"Narigón del Siglo, Yo Te Dejo Perfumado en la Esquina Para Siempre",321864763,https://is1-ssl.mzstatic.com/image/thumb/Music/28/b9/11/mzi.axqjeygc.jpg/300x300bb.jpg
Bad Girls,Donna Summer,Bad Girls,1425179100,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/66/a7/b0/66a7b03a-c02c-73c2-c7f2-f2afdf05a8dc/06UMGIM04498.rgb.jpg/300x300bb.jpg
Hot Stuff,Donna Summer,Bad Girls,1425179100,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/66/a7/b0/66a7b03a-c02c-73c2-c7f2-f2afdf05a8dc/06UMGIM04498.rgb.jpg/300x300bb.jpg
Ordinary World,Duran Duran,Top 100 90s,1551179865,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/4b/78/15/4b781590-db38-5e1a-445a-3f2a0f77026c/5059460068438.jpg/300x300bb.jpg
Hotel California,Eagles,Hotel California,635770200,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/88/16/2c/88162c3d-46db-8321-61f3-3a47404cfe76/075596050920.jpg/300x300bb.jpg
September,"Earth, Wind & Fire",The Eternal Dance,1456445670,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/c6/3b/0d/c63b0ddb-ba2d-49fc-f255-9c925dd4e6e1/886447605004.jpg/300x300bb.jpg
Your Song,Elton John,Elton John,1440810640,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/a9/52/e6/a952e6c5-a5e1-a56d-a6f4-b01ca42a4368/06UMGIM50695.rgb.jpg/300x300bb.jpg
Can't Help Falling in Love,Elvis Presley,Blue Hawaii,951221919,https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/33/9d/ff/339dffc8-2dcb-8ff6-9331-e379474773a8/ElvisPresley_BlueHawaii_G010003271304T_F_001_1500x1500RGBJPEG.jpeg/300x300bb.jpg
